cabang,nobukti,det_id,produk_id,produk_kode_api,produk_nama_api,produk_kode_db,produk_nama_db,afkir,qty_beli,qty_diterima,subtotal_rp,subtotal_net_rp,status,catatan
1,SB/PL/2605-0002,7567,9916,NP241,MATEX READY MIX 1KG,NP241,MATEX READY MIX 1KG,,12.0,12.0,456864.0,456864.0,OK,
1,SB/PL/2605-0003,7568,4157,NP114,PLATONE 8000 0.9L,NP114,PLATONE 8000 0.9L,,48.0,48.0,2985600.0,2985600.0,OK,
1,SB/PL/2605-0004,7569,4157,NP114,PLATONE 8000 0.9L,NP114,PLATONE 8000 0.9L,,60.0,60.0,3732000.0,3732000.0,OK,
1,SB/PL/2605-0005,7570,357,NP031,NIPPON TIMBERTONE 1L,NP031,NIPPON TIMBERTONE 1L,,84.0,84.0,6533940.0,6533940.0,OK,
1,SB/PL/2605-0006,7571,5197,NP102,MATEX READY MIX 4.5L,NP102,MATEX READY MIX 4.5L,,32.0,32.0,3811392.0,3811392.0,OK,
1,SB/PL/2605-0007,7572,6875,NP144,LEM PUTIH PVAC NIPPON,NP144,LEM PUTIH PVAC NIPPON,,240.0,240.0,3587520.0,3587520.0,OK,
1,SB/PL/2605-0008,7677,283,AV030,AVITEX 1KG,AV030,AVITEX 1KG,,24.0,24.0,1120800.0,1036740.0,OK,
1,SB/PL/2605-0009,7678,283,AV030,AVITEX 1KG,AV030,AVITEX 1KG,,22.0,22.0,1027400.0,950345.0,OK,
1,SB/PL/2605-0010,7679,11590,AV158,DEXTONE SILICONE RED 30GR,AV158,DEXTONE SILICONE RED 30GR,,60.0,60.0,578400.0,535020.0,OK,
1,SB/PL/2605-0010,7680,11682,AV264,DEXTONE SILICON SEALANT TUBE 70GR,AV264,DEXTONE SILICON SEALANT TUBE 70GR,,60.0,60.0,1155600.0,1068930.0,OK,
1,SB/PL/2605-0011,8608,11692,CB458,LAKBAN YOI MASKING TAPE UK 24MMX20Y,CB458,LAKBAN YOI MASKING TAPE UK 24MMX20Y,,72.0,72.0,478080.0,442224.0,OK,
1,SB/PL/2605-0012,8621,8748,AV160,AVIAN CLING 0.86L,AV160,AVIAN CLING 0.86L,,96.0,96.0,7219200.0,6677760.0,OK,
1,SB/PL/2605-0012,8622,8757,AV156,ARIES GOLD 1L,AV156,ARIES GOLD 1L,,48.0,48.0,1632000.0,1509600.0,OK,
1,SB/PL/2605-0012,8623,277,AV007,ARIES GOLD BASE A 4.5L,AV007,ARIES GOLD BASE A 4.5L,,12.0,12.0,1190400.0,1041600.0,OK,
1,SB/PL/2605-0012,8624,278,AV008,ARIES GOLD BASE B 4.5L,AV008,ARIES GOLD BASE B 4.5L,,12.0,12.0,1148400.0,1004850.0,OK,
1,SB/PL/2605-0012,8625,275,AV005,ARIES GOLD 4.5L,AV005,ARIES GOLD 4.5L,,40.0,40.0,4188000.0,3873900.0,OK,
1,SB/PL/2605-0012,8626,276,AV006,ARIES GOLD 18L,AV006,ARIES GOLD 18L,,15.0,15.0,6060000.0,5605500.0,OK,
1,SB/PL/2605-0012,8627,4195,AV131,LEM AVIAN NON SAG 400G,AV131,LEM AVIAN NON SAG 400G,,15.0,15.0,1327500.0,1227937.5,OK,
1,SB/PL/2605-0012,8628,299,AV046,NO DROP BASE B 4L,AV046,NO DROP BASE B 4L,,16.0,16.0,4499200.0,3936800.0,OK,
1,SB/PL/2605-0012,8629,2913,AV014,VIP 1L,AV014,VIP 1L,,24.0,24.0,2102400.0,1944720.0,OK,
1,SB/PL/2605-0012,8630,2912,AV013,VIP 250G,AV013,VIP 250G,,48.0,48.0,1632000.0,1509600.0,OK,
1,SB/PL/2605-0013,8631,284,AV031,AVITEX 5KG,AV031,AVITEX 5KG,,208.0,208.0,36337600.0,33612280.0,OK,
1,SB/PL/2605-0013,8632,286,AV033,AVITEX BASE A 5KG,AV033,AVITEX BASE A 5KG,,48.0,48.0,7992000.0,6993000.0,OK,
1,SB/PL/2605-0013,8633,285,AV032,AVITEX 25KG,AV032,AVITEX 25KG,,15.0,15.0,12352500.0,11426062.5,OK,
1,SB/PL/2605-0013,8634,2668,AV053,LEM EPOXY AVIAN 1L,AV053,LEM EPOXY AVIAN 1L,,24.0,24.0,7939200.0,7343760.0,OK,
1,SB/PL/2605-0013,8635,2669,AV054,LEM EPOXY AVIAN 170GR,AV054,LEM EPOXY AVIAN 170GR,,30.0,30.0,2388000.0,2208900.0,OK,
1,SB/PL/2605-0013,8636,257,AV004,"AVIAN 0,9L",AV004,"AVIAN 0,9L",,119.0,119.0,11150300.0,10314027.5,OK,
1,SB/PL/2605-0013,8637,327,AV068,AVIAN 0.45L,AV068,AVIAN 0.45L,,36.0,36.0,1926000.0,1781550.0,OK,
1,SB/PL/2605-0013,8638,356,AV202,LEM BESI DEXTONE EPOXY,AV202,LEM BESI DEXTONE EPOXY,,192.0,192.0,3223680.0,2981904.0,OK,
1,SB/PL/2605-0013,8639,2935,AV015,AVIAN 0.9L BASE A,AV015,AVIAN 0.9L BASE A,,47.0,47.0,4173600.0,3651900.0,OK,
1,SB/PL/2605-0013,8640,2936,AV016,AVIAN 0.9L BASE B,AV016,AVIAN 0.9L BASE B,,24.0,24.0,2049600.0,1793400.0,OK,
1,SB/PB/2601-0022,8775,325,AV066,PLITUR BOYO 1L,AV066,PLITUR BOYO 1L,,15.0,15.0,1312500.0,1214062.5,OK,
1,SB/PB/2601-0023,8776,325,AV066,PLITUR BOYO 1L,AV066,PLITUR BOYO 1L,,48.0,48.0,4200000.0,3885000.0,OK,
1,SB/PB/2601-0024,8777,9040,AV168,BOYO WOOD STAIN 2 IN 1,AV168,BOYO WOOD STAIN 2 IN 1,,120.0,120.0,10008000.0,9257400.0,OK,
1,SB/PB/2601-0024,8778,3006,AV029,PLITUR BOYO 0.5L,AV029,PLITUR BOYO 0.5L,,96.0,96.0,4723200.0,4368960.0,OK,
1,SB/PB/2601-0024,8779,3006,AV029,PLITUR BOYO 0.5L,AV029,PLITUR BOYO 0.5L,,24.0,24.0,1046400.0,967920.0,OK,
1,SB/PB/2601-0025,8780,284,AV031,AVITEX 5KG,AV031,AVITEX 5KG,,36.0,36.0,5896800.0,5454540.0,OK,
1,SB/PB/2601-0025,8781,316,AV063,AVITEX GENTENG 5KG,AV063,AVITEX GENTENG 5KG,,18.0,18.0,4017600.0,3716280.0,OK,
1,SB/PB/2601-0025,8782,325,AV066,PLITUR BOYO 1L,AV066,PLITUR BOYO 1L,,36.0,36.0,3150000.0,2913750.0,OK,
1,SB/PB/2601-0025,8783,325,AV066,PLITUR BOYO 1L,AV066,PLITUR BOYO 1L,,24.0,24.0,1840800.0,1702740.0,OK,
1,SB/PB/2601-0027,8784,9040,AV168,BOYO WOOD STAIN 2 IN 1,AV168,BOYO WOOD STAIN 2 IN 1,,48.0,48.0,4003200.0,3702960.0,OK,
1,SB/PB/2601-0028,8785,275,AV005,ARIES GOLD 4.5L,AV005,ARIES GOLD 4.5L,,20.0,20.0,1844000.0,1705700.0,OK,
1,SB/PB/2601-0028,8786,4195,AV131,LEM AVIAN NON SAG 400G,AV131,LEM AVIAN NON SAG 400G,,30.0,30.0,2289000.0,2117325.0,OK,
1,SB/PB/2601-0028,8787,336,AV097,PILOX SUZUKA 300CC,AV097,PILOX SUZUKA 300CC,,54.0,54.0,1701000.0,1573425.0,OK,
1,SB/PB/2601-0029,8788,10762,AV223,AVIAN CAT LAPANGAN BASE A 25L,AV223,AVIAN CAT LAPANGAN BASE A 25L,,3.0,3.0,3834000.0,2717155.8,OK,
1,SB/PB/2601-0029,8789,10237,AV117,AVIAN CAT LAPANGAN BASE C 25KG,AV117,AVIAN CAT LAPANGAN BASE C 25KG,,3.0,3.0,3536400.0,2506246.68,OK,
1,SB/PB/2601-0030,8790,285,AV032,AVITEX 25KG,AV032,AVITEX 25KG,,1.0,1.0,772200.0,714285.0,OK,
1,SB/PB/2601-0035,8791,4265,NP034,NIPPON SPOT LESS PASTEL BASE 18.8L,NP034,NIPPON SPOT LESS PASTEL BASE 18.8L,,5.0,5.0,7388335.0,7388335.0,OK,
1,SB/PB/2601-0036,8792,6875,NP144,LEM PUTIH PVAC NIPPON,NP144,LEM PUTIH PVAC NIPPON,,1081.0,1081.0,13248736.0,13248736.0,OK,
1,SB/PB/2601-0037,8793,4208,NP015,NIPSEA SB EPOXY FILLER BASE,NP015,NIPSEA SB EPOXY FILLER BASE,,120.0,120.0,11434560.0,11434560.0,OK,
