staging_nota,status,real_nota,cabang,tanggal
SB/FR/2601-0517,exact_nobukti,SB/FR/2601-0517,1,2026-01-07
SB/FR/2601-0513,exact_nobukti,SB/FR/2601-0513,1,2026-01-07
SB/FR/2601-0521,exact_nobukti,SB/FR/2601-0521,1,2026-01-07
SB/FR/2601-0514,exact_nobukti,SB/FR/2601-0514,1,2026-01-07
SB/FR/2601-0518,exact_nobukti,SB/FR/2601-0518,1,2026-01-07
SB/FR/2601-0516,exact_nobukti,SB/FR/2601-0516,1,2026-01-07
SB/FR/2601-0515,exact_nobukti,SB/FR/2601-0515,1,2026-01-07
SB/FR/2601-0520,exact_nobukti,SB/FR/2601-0520,1,2026-01-07
SB/FR/2601-0519,exact_nobukti,SB/FR/2601-0519,1,2026-01-07
NS/2601-0352,seq_in_nobukti,SB/WS/2601-0352,1,2026-01-28
NS/2601-0352,seq_in_nobukti,SB/FR/2601-0352,1,2026-01-05
NS/2601-0170,seq_in_nobukti,SB/NI/2601-0170,1,2026-01-27
NS/2601-0170,seq_in_nobukti,SB/VT/2601-0170,1,2026-01-25
NS/2601-0170,seq_in_nobukti,SB/WS/2601-0170,1,2026-01-25
NS/2601-0170,seq_in_nobukti,SB/FR/2601-0170,1,2026-01-03
NS/2601-0168,seq_in_nobukti,SB/NI/2601-0168,1,2026-01-27
NS/2601-0168,seq_in_nobukti,SB/VT/2601-0168,1,2026-01-25
NS/2601-0168,seq_in_nobukti,SB/WS/2601-0168,1,2026-01-25
NS/2601-0168,seq_in_nobukti,SB/FR/2601-0168,1,2026-01-03
PT/2601-0010,seq_in_nobukti,SB/PT/2601-0010,1,2026-01-21
PT/2601-0010,seq_in_nobukti,SB/WS/2601-0010,1,2026-01-15
PT/2601-0010,seq_in_nobukti,SB/VT/2601-0010,1,2026-01-15
PT/2601-0010,seq_in_nobukti,SB/NI/2601-0010,1,2026-01-15
PT/2601-0010,seq_in_nobukti,SB/FR/2601-0010,1,2026-01-02
FR/2601-0147,seq_in_nobukti,SB/NI/2601-0147,1,2026-01-27
FR/2601-0147,seq_in_nobukti,SB/VT/2601-0147,1,2026-01-25
FR/2601-0147,seq_in_nobukti,SB/WS/2601-0147,1,2026-01-24
FR/2601-0147,seq_in_nobukti,SB/FR/2601-0147,1,2026-01-03
NS/2601-0391,seq_in_nobukti,SB/WS/2601-0391,1,2026-01-31
NS/2601-0391,seq_in_nobukti,SB/FR/2601-0391,1,2026-01-06
